Struthio camelus
Pteroglossus frantzii
Pteroglossus sanguineus
Pteroglossus erythropygius
Pteroglossus pluricinctus
Pteroglossus beauharnaesii
Baillonius bailloni
Andigena laminirostris
Andigena hypoglauca
Andigena cucullata
Andigena nigrirostris
Selenidera spectabilis
Selenidera reinwardtii
Selenidera nattereri
Selenidera culik
Selenidera maculirostris
Selenidera gouldii
Ramphastos sulfuratus
Ramphastos brevis
Ramphastos citreolaemus
Ramphastos culminatus
Ramphastos vitellinus
Ramphastos dicolorus
Ramphastos swainsonii
Ramphastos ambiguus
Ramphastos tucanus
Ramphastos cuvieri
Ramphastos toco
Galbalcyrhynchus leucotis
Galbalcyrhynchus purusianus
Brachygalba salmoni
Brachygalba goeringi
Brachygalba lugubris
Brachygalba albogularis
Jacamaralcyon tridactyla
Galbula albirostris
Galbula cyanicollis
Galbula ruficauda
Galbula galbula
Galbula pastazae
Galbula tombacea
Galbula cyanescens
Galbula chalcothorax
Galbula leucogastra
Galbula dea
Jacamerops aureus
Notharchus macrorhynchos
Notharchus pectoralis
Notharchus ordii
Notharchus tectus
Bucco macrodactylus
Bucco tamatia
Bucco noanamae
Bucco capensis
Nystalus radiatus
Nystalus chacuru
Nystalus striolatus
Nystalus maculatus
Hypnelus ruficollis
Malacoptila fusca
Malacoptila semicincta
Malacoptila striata
Malacoptila fulvogularis
Malacoptila rufa
Malacoptila panamensis
Malacoptila mystacalis
Micromonacha lanceolata
Nonnula rubecula
Nonnula sclateri
Nonnula brunnea
Nonnula frontalis
Nonnula ruficapilla
Nonnula amaurocephala
Hapaloptila castanea
Monasa atra
Monasa nigrifrons
Monasa morphoeus
Monasa flavirostris
Chelidoptera tenebrosa
Tockus albocristatus
Tockus hartlaubi
Tockus camurus
Tockus monteiri
Tockus erythrorhynchus
Tockus flavirostris
Tockus leucomelas
Tockus jacksoni
Tockus deckeni
Tockus alboterminatus
Tockus bradfieldi
Tockus fasciatus
Tockus hemprichii
Tockus nasutus
Tockus pallidirostris
Ocyceros griseus
Ocyceros gingalensis
Ocyceros birostris
Anthracoceros coronatus
Anthracoceros albirostris
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Buceros rhinoceros
Buceros bicornis
Buceros hydrocorax
Buceros vigil
Anorrhinus tickelli
Anorrhinus galeritus
Penelopides manillae
Penelopides mindorensis
Penelopides panini
Penelopides samarensis
Penelopides affinis
Penelopides exarhatus
Aceros comatus
Aceros nipalensis
Aceros corrugatus
Aceros waldeni
Aceros leucocephalus
Aceros cassidix
Aceros undulatus
Aceros narcondami
Aceros everetti
Aceros subruficollis
Aceros plicatus
Ceratogymna bucinator
Ceratogymna fistulator
Ceratogymna brevis
Ceratogymna subcylindricus
Ceratogymna cylindricus
Ceratogymna albotibialis
Ceratogymna atrata
Ceratogymna elata
Bucorvus abyssinicus
Bucorvus leadbeateri
Upupa epops
Upupa africana
Phoeniculus purpureus
Phoeniculus damarensis
Phoeniculus somaliensis
Phoeniculus bollei
Phoeniculus castaneiceps
Rhinopomastus aterrimus
Rhinopomastus cyanomelas
Rhinopomastus minor
Apaloderma narina
Apaloderma aequatoriale
Apaloderma vittatum
Pharomachrus mocinno
Pharomachrus antisianus
Pharomachrus fulgidus
Pharomachrus auriceps
Pharomachrus pavoninus
Euptilotis neoxenus
Priotelus temnurus
Priotelus roseigaster
Trogon massena
Trogon melanurus
Trogon clathratus
Trogon comptus
Trogon bairdii
Trogon viridis
Trogon citreolus
Trogon melanocephalus
Trogon mexicanus
Trogon elegans
Trogon collaris
Trogon aurantiiventris
Trogon personatus
Trogon rufus
Trogon surrucura
Trogon curucui
Trogon violaceus
Harpactes reinwardtii
Harpactes fasciatus
Harpactes kasumba
Harpactes diardii
Harpactes ardens
Harpactes whiteheadi
Harpactes orrhophaeus
Harpactes duvaucelii
Harpactes oreskios
Harpactes erythrocephalus
Harpactes wardi
Coracias garrulus
Coracias abyssinica
Coracias caudata
Coracias spatulata
Coracias noevia
Coracias benghalensis
Coracias temminckii
Coracias cyanogaster
Eurystomus glaucurus
Eurystomus gularis
Eurystomus orientalis
Eurystomus azureus
Brachypteracias leptosomus
Brachypteracias squamigera
Atelornis pittoides
Atelornis crossleyi
Uratelornis chimaera
Leptosomus discolor
Hylomanes momotula
Aspatha gularis
Electron platyrhynchum
Electron carinatum
Eumomota superciliosa
Baryphthengus martii
Baryphthengus ruficapillus
Momotus mexicanus
Momotus momota
Todus multicolor
Todus angustirostris
Todus mexicanus
Todus todus
Todus subulatus
Alcedo hercules
Alcedo atthis
Alcedo semitorquata
Alcedo quadribrachys
Alcedo meninting
Alcedo azurea
Alcedo websteri
Alcedo euryzona
Alcedo cyanopecta
Alcedo argentata
Alcedo cristata
Alcedo vintsioides
Alcedo thomensis
Alcedo nais
Alcedo leucogaster
Alcedo coerulescens
Alcedo pusilla
Ceyx lepidus
Ceyx erithacus
Ceyx rufidorsa
Ceyx melanurus
Ceyx fallax
Ispidina madagascariensis
Ispidina picta
Ispidina lecontei
Lacedo pulchella
Dacelo novaeguineae
Dacelo leachii
Dacelo tyro
Dacelo gaudichaud
Clytoceyx rex
Cittura cyanotis
Pelargopsis amauropterus
Pelargopsis capensis
Pelargopsis melanorhyncha
Halcyon coromanda
Halcyon badia
Halcyon smyrnensis
Halcyon pileata
